page,old_visible_image,new_approved_image,prepared_pixel_size,new_label,new_credit
12,a24-raw-agency-amir-geshani-2jh8d3chnec-unsplash.jpg,cole-keister-D6zQt8NfIq4-unsplash.jpeg,3375x2639,A68 / SOCIAL CONSTRAINT,Cole Keister
20,aris-rovas-jui9RSZdPVU-unsplash (1).jpg,evilicio-inc-RSgWh0jmGbo-unsplash.jpeg,1344x2171,A69 / SOCIAL CONSTRAINT,Evilicio Inc.
21,valentin-lacoste-8PafowRW8mE-unsplash.jpeg,elias-maurer-sSpLu7IPC8g-unsplash.jpeg,3386x2625,A70 / SOCIAL CONSTRAINT,Elias Maurer
29,repeated blindfold/roses image,liliya-grek-OaPOg0EAD2w-unsplash.jpeg,1636x2172,A71 / MEDIATION,Liliya Grek
31,a20-mediation-alex-bracken-l1sjo7tmvec-unsplash.jpg,sunny-ng-oLpSNDeE83A-unsplash.jpeg,3386x2625,A72 / MEDIATION,Sunny Ng
41,repeated blindfold/roses image,nikolay-hristov-5RUfRn7x-ME-unsplash.jpeg,3377x2635,A73 / SYNTHESIS,Nikolay Hristov
43,aris-rovas-jui9RSZdPVU-unsplash (1).jpg,thea-hdc-hwD_SVnZu7Q-unsplash.jpeg,3374x2625,A74 / SYNTHESIS,Thea
45,daniel-apodaca-uriAVs6oi3Y-unsplash (2).jpg,andrea-farao-SgMC5xjjsfU-unsplash (2).jpeg,3375x2637,A75 / SYNTHESIS,Andrea Farao
